img_id, marks
IMG01, 5
IMG02, 5
IMG03, 3
IMG04, 4
IMG05, 1
IMG06, 5
IMG07, 5
IMG08, 1
IMG09, 3
IMG10, 2
IMG11, 2
IMG12, 4.5
IMG13, 1
IMG14, 3.5
IMG15, 3.5
IMG16, 4.5
IMG17, 5
IMG18, 5
IMG19, 5
IMG20, 3
IMG21, 4
IMG22, 3
IMG23, 5
IMG24, 4.5
IMG25, 5
IMG26, 1
IMG27, 2
IMG28, 0
IMG29, 1
IMG30, 5
IMG31, 2
IMG32, 3
IMG33, 4
IMG34, 2
IMG35, 0
IMG36, 1.5
IMG37, 0
IMG38, 1
IMG39, 5
IMG40, 4
IMG41, 5
IMG42, 5
IMG43, 4.5
IMG44, 1
IMG45, 4
IMG46, 5
IMG47, 0.5
IMG48, 5
IMG49, 2
IMG50, 3
IMG51, 3
IMG52, 2
IMG53, 4.5
IMG54, 3.5
IMG55, 0
IMG56, 2
IMG57, 5
IMG58, 5
IMG59, 5
IMG60, 5
IMG61, 5
IMG62, 3
IMG63, 4
IMG64, 5
IMG65, 5
IMG66, 5
IMG67, 5
IMG68, 5
IMG69, 3.5
IMG70, 4
IMG71, 2.5
IMG72, 0.5
IMG73, 3
IMG74, 5
IMG75, 4.5
IMG76, 5
IMG77, 4.5
IMG78, 3
IMG79, 4
IMG80, 4.5
IMG81, 3
IMG82, 2
IMG83, 4.5
IMG84, 5 
